year,county,undergrad,unemployment,income_percap,civ_labor,race_white,income_med,income_person,pop_res,net_mig,homeowner,crime,racical_dissim,snap,inc_ineq,discon_yth,burd_house,pre_death,patents,poverty,age_med,commute,age_pre_death,at_hpi,eq_sprime,poverty_perc,hisp_latin,privat_ests,buildings,poverty_u18,house_singp,pop_est,pop_perc,prevent_admin,assoc_deg,rel_chil_518,prec_rel_chil_518,pop_u18,perc_pop_u18,real_wage_coladj,date,countycode
1991,MOWER,NaN,3.8083333333333336,17798,18048.583333333332,NaN,NaN,668661,37.57,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,65.91,NaN,NaN,NaN,794.25,51,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1991-06-16,50
1991,MURRAY,NaN,4.733333333333333,15703,4408.583333333333,NaN,NaN,151231,9.631,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,230.5,13,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1991-06-16,51
1991,NICOLLET,NaN,3.5083333333333333,17051,16046.75,NaN,NaN,482868,28.319000000000003,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,64.18,NaN,NaN,NaN,484.75,81,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1991-06-16,52
1991,NOBLES,NaN,3.4833333333333334,17642,9847.166666666666,NaN,NaN,357147,20.244,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,79.61,NaN,NaN,NaN,573.25,45,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1991-06-16,53
1991,NORMAN,NaN,6.925,15463,3524.4166666666665,NaN,NaN,121644,7.867000000000001,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,201.25,2,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1991-06-16,54
1991,OLMSTED,NaN,2.841666666666667,21454,63841.833333333336,NaN,NaN,2350430,109.555,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,3.727272727272727,NaN,NaN,NaN,NaN,69.59,NaN,NaN,NaN,2410.25,836,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1991-06-16,55
1991,OTTER TAIL,NaN,6.5,15209,24708.75,NaN,NaN,779953,51.281000000000006,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,65.31,NaN,NaN,NaN,1256.25,87,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1991-06-16,56
1991,PENNINGTON,NaN,10.641666666666666,15569,6936,NaN,NaN,208938,13.42,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,357.25,4,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1991-06-16,57
1991,PINE,NaN,11.375,13239,9384.5,NaN,NaN,286975,21.677,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,432,49,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1991-06-16,58
1991,PIPESTONE,NaN,4.825,15730,4832.083333333333,NaN,NaN,164232,10.440999999999999,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,278.5,13,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1991-06-16,59
1991,POLK,NaN,6.091666666666667,15112,15560.5,NaN,NaN,492176,32.568000000000005,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,70.21,NaN,NaN,NaN,787.5,49,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1991-06-16,60
1991,POPE,NaN,5.775,14025,4878,NaN,NaN,151611,10.81,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,247.25,22,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1991-06-16,61
1991,RAMSEY,NaN,4.391666666666667,22567,270738.6666666667,NaN,NaN,11019149,488.277,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,14.666666666666666,NaN,NaN,NaN,NaN,62.38,NaN,NaN,NaN,12145.25,797,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1991-06-16,62
1991,RED LAKE,NaN,14.858333333333333,13233,2063.25,NaN,NaN,59232,4.476,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,105.25,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1991-06-16,63
1991,REDWOOD,NaN,2.9,16625,9333.333333333334,NaN,NaN,287156,17.273,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,479.25,35,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1991-06-16,64
1991,RENVILLE,NaN,5.658333333333333,16847,8283.25,NaN,NaN,296465,17.597,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,492.75,18,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1991-06-16,65
