,B01001H_002E,B01001I_002E,B02001_002E,B02001_003E,B02001_004E,B02001_005E,B05002_003E,B05002_004E,B05003_009E,B05003_020E,B08006_002E,B08006_003E,B08006_008E,B08006_014E,B08006_015E,B08006_016E,B08006_017E,B11001_001E,B11001_002E,B11001_003E,B11001_005E,B11001_006E,B11001_007E,B11001_008E,B12001_001E,B12001_003E,B12001_004E,B12001_006E,B12001_009E,B12001_010E,B13002_008E,B13002_009E,B14002_026E,B16001_004E,B16001_005E,B17001_010E,B17001_011E,B17001_012E,B17001_013E,B17001_014E,B17001_015E,B17001_016E,B18101_001E,B19001_002E,B19001_003E,B19001_017E,B21001_002E,B21001_003E,NAME,state,county,year
469,56490,,120285,3488,147,2055,100046,24297,47463,51068,58341,53311,366,615,2468,347,1862,50731,30283,24445,1934,3904,20448,14999,107460,19670,27134,2062,1046,4254,0,685,63549,,,4394,655,672,415,259,206,40,128291,4159,2338,1959,7683,94874,"Wood County, Ohio",39,173,2014
470,49258,5379,106256,3617,4166,4540,80943,41815,43872,46584,,,,,,,,44093,32062,25886,1909,4267,12031,9719,101555,12769,30312,3815,1010,5437,0,258,63423,,,403,171,424,742,221,176,93,127983,1621,958,1976,8823,86859,"Canadian County, Oklahoma",40,017,2014
471,98016,10737,212856,12822,9532,11556,156211,90935,94976,97426,124568,112215,412,1505,2494,1033,5067,100767,66391,50337,4936,11118,34376,24252,219399,40302,55323,3305,2267,10542,51,954,130983,,,6523,2347,906,1134,949,255,237,264345,7083,3946,3470,20539,187565,"Cleveland County, Oklahoma",40,027,2014
472,37387,8393,79135,21459,7040,2625,56086,58453,47397,41913,,,,,,,,41156,27412,19558,1569,6285,13744,11490,99031,21081,23560,3527,1596,5534,0,550,57184,,,1308,1166,1139,1098,595,280,387,112733,3062,2418,878,17420,68531,"Comanche County, Oklahoma",40,031,2014
473,26892,,56738,1526,7977,400,52622,16408,25413,27170,,,,,,,,26529,19164,14127,1449,3588,7365,6303,56828,7183,15409,987,767,4259,0,286,34142,,,532,244,327,370,499,391,144,69834,1469,1857,675,5281,48221,"Creek County, Oklahoma",40,037,2014
474,19346,,41823,7840,12720,756,50658,17283,24344,26614,,,,,,,,26016,17349,11708,1372,4269,8667,7174,55724,8584,13364,1487,705,4280,351,228,34490,,,616,799,734,822,437,249,99,67161,2426,1619,441,5479,47334,"Muskogee County, Oklahoma",40,101,2014
475,215037,65098,529779,116026,20438,26366,443185,230380,235414,257580,331862,291971,1859,527,5412,4117,13609,293079,181873,125822,14876,41175,111206,92342,599118,105022,142541,15957,7986,33643,319,4017,373333,,,8283,6200,5539,4848,5812,1131,452,751696,23564,15252,14785,51262,514190,"Oklahoma County, Oklahoma",40,109,2014
476,31270,,65193,3192,4543,3407,47033,26512,30123,29850,30930,25938,556,720,1527,356,587,29934,16423,12803,871,2749,13511,9407,67182,15563,13742,847,860,4013,26,344,37623,,,3934,2019,326,350,228,22,65,79188,4006,1928,996,3535,61166,"Payne County, Oklahoma",40,119,2014
477,25053,1660,54404,2362,10976,168,50969,18787,24776,28479,,,,,,,,25733,18164,13520,938,3706,7569,6431,57224,7025,15409,1158,789,3493,13,214,36357,,,817,556,822,458,548,42,168,69835,1957,1488,500,5992,48240,"Pottawatomie County, Oklahoma",40,125,2014
478,32525,1936,67311,1007,10896,985,58540,29010,32514,33645,,,,,,,,33586,24997,19553,1839,3605,8589,7551,72099,9122,20823,1188,1157,4411,49,230,43829,,,334,350,382,204,392,221,0,88864,1707,1690,982,7185,60612,"Rogers County, Oklahoma",40,131,2014
